playerid,p_HBP,p_SHO,b_AB,p_L,p_SV,p_GF,p_CG,p_R,b_HBP,b_GIDP,b_BB,b_H,b_SH,b_IBB,b_2B,b_3B,b_SB,b_RBI,b_SO,b_G,p_W,b_R,classification
worreto01,7,0,27,52,256,456,0,264,0,1,1,2,2,0,0,1,0,0,20,617,50,1,0
wrighge01,0,0,2875,1,0,1,0,3,0,0,67,867,0,0,126,61,41,330,119,591,0,665,0
wrighgl01,NULL,NULL,4153,NULL,NULL,NULL,NULL,NULL,5,9,209,1219,113,0,203,76,38,723,407,1119,NULL,584,0
wyattwh01,33,17,607,95,13,101,97,860,2,20,26,133,34,0,26,2,0,69,111,366,106,53,0
wynnea01,64,49,1704,244,15,66,290,2037,2,33,141,365,52,0,59,5,1,173,330,796,300,136,1
wynnji01,NULL,NULL,6653,NULL,NULL,NULL,NULL,NULL,27,117,1224,1665,32,84,285,39,225,964,1427,1920,NULL,1105,0
yastrca01,NULL,NULL,11988,NULL,NULL,NULL,NULL,NULL,40,323,1845,3419,13,190,646,59,168,1844,1393,3308,NULL,1816,1
yeagest01,NULL,NULL,3584,NULL,NULL,NULL,NULL,NULL,27,93,342,816,33,64,118,16,14,410,726,1269,NULL,357,0
yerkest02,NULL,NULL,2521,NULL,NULL,NULL,NULL,NULL,16,0,207,676,115,0,124,32,54,254,102,711,NULL,307,0
yorkru01,NULL,NULL,5891,NULL,NULL,NULL,NULL,NULL,12,155,792,1621,25,0,291,52,38,1152,867,1603,NULL,876,0
youngcy01,163,76,2960,316,17,84,749,3167,10,0,81,623,50,0,87,35,29,290,150,918,511,325,1
younger01,NULL,NULL,6119,NULL,NULL,NULL,NULL,NULL,89,135,660,1731,84,14,327,46,465,543,462,1730,NULL,996,0
youngpe01,NULL,NULL,2466,NULL,NULL,NULL,NULL,NULL,12,51,152,645,38,0,128,34,18,347,312,730,NULL,274,0
youngro01,NULL,NULL,4627,NULL,NULL,NULL,NULL,NULL,37,0,550,1491,119,0,236,93,153,592,390,1211,NULL,812,1
yountro01,NULL,NULL,11008,NULL,NULL,NULL,NULL,NULL,48,217,966,3142,104,95,583,126,271,1406,1350,2856,NULL,1632,1
zachato01,41,24,1122,191,22,84,186,1552,2,7,62,254,46,0,28,12,0,112,261,546,186,79,0
zachrpa01,21,7,318,67,3,44,29,529,0,11,14,36,33,0,0,0,0,6,128,293,69,9,0
zahnge01,19,20,43,109,1,13,79,889,0,1,0,6,10,0,0,0,0,1,9,304,111,3,0
zeileto01,0,0,7573,0,0,2,0,5,42,223,945,2004,8,47,397,23,53,1110,1279,2158,0,986,0
zimmech01,NULL,NULL,4546,NULL,NULL,NULL,NULL,NULL,91,0,390,1224,49,0,222,76,151,625,323,1280,NULL,617,0
ziskri01,NULL,NULL,5144,NULL,NULL,NULL,NULL,NULL,12,138,533,1477,7,52,245,26,8,792,910,1453,NULL,681,0
