playerid,p_HBP,p_SHO,b_AB,p_L,p_SV,p_GF,p_CG,p_R,b_HBP,b_GIDP,b_BB,b_H,b_SH,b_IBB,b_2B,b_3B,b_SB,b_RBI,b_SO,b_G,p_W,b_R,classification
dyered01,13,2,157,15,3,35,10,164,0,0,10,35,4,0,7,3,3,13,14,129,15,31,0
dykesji01,0,0,8046,0,1,2,0,1,115,0,958,2256,228,0,453,90,70,1071,850,2282,0,1108,0
dykstle01,NULL,NULL,4559,NULL,NULL,NULL,NULL,NULL,31,39,640,1298,25,50,281,43,285,404,503,1278,NULL,802,0
earnsge01,25,18,704,93,12,45,115,1063,2,5,20,162,44,0,29,4,1,70,125,319,127,61,0
eckerde01,75,20,181,171,390,577,100,1382,0,1,9,24,5,0,3,0,0,12,84,1073,197,9,1
eckstda01,NULL,NULL,5041,NULL,NULL,NULL,NULL,NULL,143,88,376,1414,106,3,232,20,123,392,418,1311,NULL,701,0
edmonji01,NULL,NULL,6858,NULL,NULL,NULL,NULL,NULL,49,122,998,1949,10,91,437,25,67,1199,1729,2011,NULL,1251,0
edwarha01,NULL,NULL,2191,NULL,NULL,NULL,NULL,NULL,2,30,208,613,8,0,116,41,9,276,264,735,NULL,285,0
edwarjo01,NULL,NULL,4577,NULL,NULL,NULL,NULL,NULL,16,77,465,1106,31,118,202,32,15,524,635,1470,NULL,430,0
ehmkeho01,137,20,1009,166,14,70,199,1425,0,0,26,210,53,0,38,6,5,73,111,429,166,71,0
eisenji01,NULL,NULL,3995,NULL,NULL,NULL,NULL,NULL,8,75,324,1160,22,47,221,39,105,477,435,1422,NULL,492,0
elberki01,NULL,NULL,4561,NULL,NULL,NULL,NULL,NULL,165,0,427,1235,119,0,169,56,213,535,4,1292,NULL,647,0
elliobo01,NULL,NULL,7141,NULL,NULL,NULL,NULL,NULL,16,187,967,2061,66,0,382,94,60,1195,604,1978,NULL,1064,0
ellioju01,25,8,416,74,12,63,51,687,1,2,21,68,6,0,11,0,0,37,121,253,63,26,0
ellisdo01,44,14,489,119,1,10,71,958,0,3,27,65,44,0,4,0,4,23,201,388,138,42,0
ennisde01,NULL,NULL,7254,NULL,NULL,NULL,NULL,NULL,31,212,597,2063,20,23,358,69,45,1284,719,1903,NULL,985,0
ensje01,NULL,NULL,186,NULL,NULL,NULL,NULL,NULL,2,0,7,54,10,0,8,4,5,24,16,67,NULL,25,0
erskica01,16,14,588,78,13,61,71,830,2,8,12,92,31,0,11,0,0,31,120,360,122,51,0
erstada01,NULL,NULL,6024,NULL,NULL,NULL,NULL,NULL,37,87,475,1697,36,46,316,33,179,699,939,1654,NULL,913,0
evansda01,NULL,NULL,8973,NULL,NULL,NULL,NULL,NULL,35,133,1605,2223,34,141,329,36,98,1354,1410,2687,NULL,1344,0
evansdw01,NULL,NULL,8996,NULL,NULL,NULL,NULL,NULL,53,227,1391,2446,52,60,483,73,78,1384,1697,2606,NULL,1470,0
eversjo01,NULL,NULL,6137,NULL,NULL,NULL,NULL,NULL,39,0,778,1659,256,0,216,70,324,538,142,1784,NULL,919,0
ewingbu01,1,0,5363,3,0,5,4,36,9,0,392,1625,6,0,250,178,354,883,294,1315,2,1129,0
faberre01,103,29,1269,213,28,134,273,1813,8,0,169,170,104,0,21,2,7,70,479,670,254,98,1
facero01,14,0,194,95,193,574,6,591,0,3,2,31,18,0,3,0,0,7,47,853,104,9,0
fairlro01,NULL,NULL,7184,NULL,NULL,NULL,NULL,NULL,40,157,1052,1913,96,129,307,33,35,1044,877,2442,NULL,931,0
falkecy01,69,27,771,123,8,48,180,960,4,0,39,117,43,0,11,4,7,47,107,332,130,48,0
fellebo01,60,44,1282,162,21,52,279,1557,3,15,100,193,100,0,28,13,1,99,505,570,266,99,1
fergujo01,NULL,NULL,3001,NULL,NULL,NULL,NULL,NULL,9,86,562,719,17,64,121,11,22,445,607,1013,NULL,407,0
fernaal01,35,10,126,87,0,1,33,804,0,4,9,22,10,0,8,0,0,14,35,266,107,7,0
fernasi01,41,9,539,96,1,2,25,749,2,12,16,98,67,0,15,2,1,34,209,307,114,28,0
fernato01,NULL,NULL,7911,NULL,NULL,NULL,NULL,NULL,64,161,690,2276,67,48,414,92,246,844,784,2158,NULL,1057,0
ferreri01,NULL,NULL,6028,NULL,NULL,NULL,NULL,NULL,10,55,931,1692,103,0,324,45,29,734,277,1884,NULL,687,1
ferrewe01,23,17,1176,128,13,43,227,1382,0,0,129,329,40,0,57,12,2,208,185,548,193,175,0
fieldce01,NULL,NULL,5157,NULL,NULL,NULL,NULL,NULL,43,169,693,1313,0,76,200,7,2,1008,1316,1470,NULL,744,0
fingero01,39,2,180,118,341,709,4,615,0,2,3,31,18,0,3,0,0,9,45,945,114,10,1
finlech01,76,15,53,173,0,24,63,1517,0,1,0,3,6,0,1,0,0,1,26,524,200,3,0
finlest01,1,0,9397,0,0,1,0,0,53,152,844,2548,91,69,449,124,320,1167,1299,2583,0,1443,0
fisheed02,27,2,246,70,81,344,7,659,0,6,10,30,19,0,5,1,0,8,97,690,85,11,0
fiskca01,NULL,NULL,8756,NULL,NULL,NULL,NULL,NULL,143,204,849,2356,26,105,421,47,128,1330,1386,2499,NULL,1276,1
fitzsfr01,33,29,1155,146,13,64,186,1505,13,15,36,231,58,0,35,7,0,103,177,513,217,112,0
flanami01,41,19,0,143,4,49,101,1301,0,0,0,0,0,0,0,0,0,0,0,529,167,0,0
fletcar01,NULL,NULL,5541,NULL,NULL,NULL,NULL,NULL,141,0,203,1534,154,0,238,77,159,675,348,1533,NULL,684,0
flickel01,NULL,NULL,5597,NULL,NULL,NULL,NULL,NULL,99,0,597,1752,121,0,268,164,330,756,0,1483,NULL,950,1
flintsi01,NULL,NULL,2913,NULL,NULL,NULL,NULL,NULL,1,0,54,687,0,0,129,34,12,295,471,760,NULL,380,0
floodcu01,NULL,NULL,6357,NULL,NULL,NULL,NULL,NULL,52,117,444,1861,72,22,271,44,88,636,609,1759,NULL,851,0
floydcl01,NULL,NULL,5319,NULL,NULL,NULL,NULL,NULL,91,85,601,1479,4,87,340,23,148,865,1064,1621,NULL,824,0
fonsele01,0,0,3404,0,0,0,0,0,23,0,186,1075,111,0,203,50,64,485,199,937,0,518,0
fordwh01,28,45,1023,106,10,35,156,1107,3,10,113,177,65,0,19,0,3,69,224,500,236,91,1
forscbo01,45,19,893,136,3,19,67,1319,1,14,27,190,115,0,45,8,3,84,249,509,168,77,0
forscke01,47,18,383,113,51,177,70,881,0,3,16,52,39,0,6,0,1,17,163,521,114,16,0
fostebi99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
fosteed02,NULL,NULL,5652,NULL,NULL,NULL,NULL,NULL,25,0,528,1490,112,0,191,71,195,451,255,1500,NULL,732,0
fostege01,NULL,NULL,7023,NULL,NULL,NULL,NULL,NULL,52,196,666,1925,3,106,307,47,51,1239,1419,1977,NULL,986,0
foxne01,NULL,NULL,9232,NULL,NULL,NULL,NULL,NULL,142,175,719,2663,208,24,355,112,76,790,216,2367,NULL,1279,1
foxxji01,1,0,8134,0,0,8,0,4,13,69,1452,2646,71,0,458,125,87,1922,1311,2317,1,1751,1
francjo01,22,0,34,87,424,774,0,466,0,0,0,3,3,0,0,0,0,1,14,1119,90,2,0
francju02,NULL,NULL,996,NULL,NULL,NULL,NULL,NULL,8,17,81,235,0,6,50,4,2,152,375,404,NULL,110,0
frasech01,177,22,1316,212,6,42,342,1995,7,0,81,235,38,0,34,13,19,96,34,458,175,134,0
freehbi01,NULL,NULL,6073,NULL,NULL,NULL,NULL,NULL,114,138,626,1591,38,67,241,35,24,758,753,1774,NULL,706,0
fregoji01,NULL,NULL,6523,NULL,NULL,NULL,NULL,NULL,32,125,715,1726,79,48,264,78,76,706,1097,1902,NULL,844,0
friscfr01,NULL,NULL,9112,NULL,NULL,NULL,NULL,NULL,31,55,728,2880,229,0,466,138,419,1244,272,2311,NULL,1532,1
frymatr01,NULL,NULL,6481,NULL,NULL,NULL,NULL,NULL,41,154,602,1776,15,19,345,40,72,1022,1369,1698,NULL,895,0
frymawo01,68,27,609,155,58,160,68,1136,1,2,14,84,63,0,6,0,1,25,177,625,141,22,0
furilca01,NULL,NULL,6378,NULL,NULL,NULL,NULL,NULL,47,207,514,1910,59,28,324,56,48,1058,436,1806,NULL,895,0
gaettga01,1,0,8951,0,0,3,0,2,96,236,634,2280,32,57,443,39,96,1341,1602,2507,0,1130,0
gagliph01,NULL,NULL,1411,NULL,NULL,NULL,NULL,NULL,4,35,163,336,12,7,50,7,5,159,184,702,NULL,150,0
gagneer01,33,0,86,26,187,269,0,268,0,2,1,12,12,0,2,1,0,3,25,402,33,5,0
galanau01,NULL,NULL,5937,NULL,NULL,NULL,NULL,NULL,25,72,979,1706,62,0,336,74,123,830,393,1742,NULL,1004,0
galaran01,NULL,NULL,8096,NULL,NULL,NULL,NULL,NULL,178,179,583,2333,1,106,444,32,128,1425,2003,2257,NULL,1195,0
galvipu01,57,57,2748,310,2,17,646,3355,2,0,38,552,0,0,87,31,23,220,631,731,364,278,1
gamblos01,NULL,NULL,4502,NULL,NULL,NULL,NULL,NULL,43,64,610,1195,12,62,188,31,47,666,546,1584,NULL,656,0
gantro01,NULL,NULL,6449,NULL,NULL,NULL,NULL,NULL,32,98,770,1651,12,38,302,50,243,1008,1411,1832,NULL,1080,0
garcino01,NULL,NULL,5586,NULL,NULL,NULL,NULL,NULL,59,129,403,1747,5,54,370,52,95,936,554,1434,NULL,927,0
garneph01,NULL,NULL,6136,NULL,NULL,NULL,NULL,NULL,34,131,564,1594,67,74,299,82,225,738,842,1860,NULL,780,0
garvene01,41,18,827,157,12,40,153,1184,1,24,76,180,53,0,27,3,1,72,109,458,129,87,0
garvest01,NULL,NULL,8835,NULL,NULL,NULL,NULL,NULL,29,251,479,2599,33,113,440,43,83,1308,1003,2332,NULL,1143,0
gehrich01,NULL,NULL,8860,NULL,NULL,NULL,NULL,NULL,50,27,1186,2839,141,0,574,146,181,1427,372,2323,NULL,1774,0
gehrilo01,NULL,NULL,8001,NULL,NULL,NULL,NULL,NULL,45,2,1508,2721,106,0,534,163,102,1995,790,2164,NULL,1888,1
gelbech01,0,0,2869,0,0,2,0,4,7,24,290,766,49,0,169,43,34,350,245,876,0,398,0
geronce01,NULL,NULL,3780,NULL,NULL,NULL,NULL,NULL,31,68,354,977,39,83,161,50,82,392,746,1522,NULL,460,0
gibsobo01,102,56,1328,174,6,21,255,1420,8,13,63,274,72,0,44,5,13,144,415,596,251,132,1
gibsojo99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
gibsoki01,NULL,NULL,5798,NULL,NULL,NULL,NULL,NULL,61,72,718,1553,23,72,260,54,284,870,1285,1635,NULL,985,0
gilesbr02,NULL,NULL,6527,NULL,NULL,NULL,NULL,NULL,51,160,1183,1897,4,114,411,55,109,1078,835,1847,NULL,1121,0
giustda01,15,9,412,93,145,380,35,764,3,5,23,77,27,0,10,2,0,46,99,686,100,29,0
gladdfr01,27,0,63,34,109,278,0,237,0,1,0,1,4,0,0,0,0,3,40,450,48,1,0
glassja01,1,0,7030,0,0,4,0,11,62,0,439,2040,4,0,313,98,372,825,212,1736,0,1163,0
glaustr01,NULL,NULL,5410,NULL,NULL,NULL,NULL,NULL,46,138,854,1375,0,40,293,10,56,950,1377,1537,NULL,889,0
glavito02,66,25,1323,203,0,0,56,1900,2,14,101,246,216,0,25,2,1,90,329,709,305,93,1
gleaski01,21,10,7452,131,6,30,240,1511,38,0,500,1944,208,0,216,80,328,823,131,1966,138,1020,0
goltzda01,26,13,94,109,8,39,83,950,1,1,10,10,12,0,0,0,0,7,49,356,113,1,0
gomezle01,19,28,904,102,9,31,173,1091,2,5,50,133,68,0,11,0,1,58,252,368,189,59,1
gonzaju03,NULL,NULL,6556,NULL,NULL,NULL,NULL,NULL,62,184,457,1936,2,74,388,25,26,1404,1273,1689,NULL,1061,0
gonzalu01,NULL,NULL,9157,NULL,NULL,NULL,NULL,NULL,111,212,1155,2591,10,150,596,68,128,1439,1218,2591,NULL,1412,0
gonzami01,NULL,NULL,2829,NULL,NULL,NULL,NULL,NULL,20,0,231,717,69,0,123,19,52,263,198,1042,NULL,283,0
goodedw01,78,24,741,112,3,4,68,1198,3,13,14,145,85,0,15,5,1,67,135,434,194,60,0
gordojo01,NULL,NULL,5707,NULL,NULL,NULL,NULL,NULL,29,159,759,1530,41,0,264,52,89,975,702,1566,NULL,914,1
gordoto01,38,4,2,126,158,347,18,1016,0,0,0,0,0,0,0,0,0,0,0,893,138,0,0
gosgeji01,NULL,NULL,1815,NULL,NULL,NULL,NULL,NULL,6,29,217,411,17,25,67,16,25,177,316,705,NULL,197,0
gosligo01,NULL,NULL,8656,NULL,NULL,NULL,NULL,NULL,55,0,949,2735,162,0,500,173,175,1609,585,2287,NULL,1483,1
gossari01,47,0,85,107,310,681,16,670,0,2,4,9,4,0,1,0,0,2,37,1003,124,1,1
gowdyha01,NULL,NULL,2735,NULL,NULL,NULL,NULL,NULL,30,0,311,738,67,0,124,27,59,322,247,1050,NULL,270,0
gracema01,0,0,8065,0,0,1,0,1,34,191,1075,2445,17,115,511,45,70,1146,642,2245,0,1179,0
granted01,NULL,NULL,3385,NULL,NULL,NULL,NULL,NULL,11,0,233,844,129,0,79,30,153,277,181,990,NULL,399,0
grantfr99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
grantge01,NULL,NULL,4989,NULL,NULL,NULL,NULL,NULL,23,5,717,1508,168,0,292,93,132,712,526,1444,NULL,912,0
grantmu01,33,18,759,119,53,160,89,1105,2,14,37,135,48,0,25,2,2,65,214,667,145,80,0
greenha01,NULL,NULL,5193,NULL,NULL,NULL,NULL,NULL,16,66,852,1628,35,0,379,71,58,1276,844,1394,NULL,1051,1
greenmi01,NULL,NULL,4623,NULL,NULL,NULL,NULL,NULL,39,136,460,1400,3,79,275,38,80,726,364,1269,NULL,657,0
greensh01,NULL,NULL,7082,NULL,NULL,NULL,NULL,NULL,80,174,744,2003,3,80,445,35,162,1070,1315,1951,NULL,1129,0
grichbo01,NULL,NULL,6890,NULL,NULL,NULL,NULL,NULL,86,157,1087,1833,107,50,320,47,104,864,1278,2008,NULL,1033,0
griffcl01,102,22,1380,146,6,78,337,1852,7,0,166,321,27,0,49,17,22,166,46,485,237,202,0
griffke01,NULL,NULL,7229,NULL,NULL,NULL,NULL,NULL,14,106,719,2143,31,51,364,77,200,859,898,2097,NULL,1129,0
griffke02,NULL,NULL,9801,NULL,NULL,NULL,NULL,NULL,81,199,1312,2781,8,246,524,38,184,1836,1779,2671,NULL,1662,1
grimebu01,97,35,1535,212,18,94,314,2048,5,1,69,380,76,0,62,11,15,168,241,632,270,157,1
grimmch01,NULL,NULL,7917,NULL,NULL,NULL,NULL,NULL,31,30,578,2299,219,0,394,108,57,1078,410,2166,NULL,908,0
grimsro02,15,15,353,99,3,17,79,947,1,5,6,45,39,0,4,0,0,15,116,346,124,21,0
grissma01,28,3,189,45,58,176,12,358,1,4,8,23,15,0,7,0,0,6,67,356,47,9,0
grissma02,NULL,NULL,8275,NULL,NULL,NULL,NULL,NULL,31,171,553,2251,38,44,386,56,429,967,1240,2165,NULL,1187,0
groatdi01,NULL,NULL,7484,NULL,NULL,NULL,NULL,NULL,31,220,490,2138,122,39,352,67,14,707,512,1929,NULL,829,0
grohhe01,NULL,NULL,6074,NULL,NULL,NULL,NULL,NULL,83,0,696,1774,182,0,308,87,180,566,345,1676,NULL,918,0
gromest01,68,17,630,108,23,110,92,893,1,13,71,124,40,0,9,2,2,40,146,470,123,58,0
grossgr01,0,0,3745,0,0,2,0,2,8,90,523,1073,40,51,130,46,39,308,250,1809,0,449,0
groteje01,NULL,NULL,4339,NULL,NULL,NULL,NULL,NULL,26,131,399,1092,47,77,160,22,15,404,600,1421,NULL,352,0
grovele01,42,35,1369,141,55,123,298,1594,2,1,105,202,103,0,27,5,1,121,593,619,300,119,1
groveor01,29,11,373,73,4,31,66,595,3,9,31,48,21,0,4,2,0,19,128,207,63,23,0
grudzma01,NULL,NULL,7052,NULL,NULL,NULL,NULL,NULL,105,174,364,2040,40,24,391,36,133,640,954,1802,NULL,946,0
guarded01,16,0,1,61,187,401,0,477,0,1,0,0,0,0,0,0,0,0,0,909,46,0,0
guerrpe01,NULL,NULL,5392,NULL,NULL,NULL,NULL,NULL,32,122,609,1618,9,115,267,29,97,898,862,1536,NULL,730,0
guerrvl01,NULL,NULL,8155,NULL,NULL,NULL,NULL,NULL,103,277,737,2590,0,250,477,46,181,1496,985,2147,NULL,1328,0
guidrro01,13,26,0,91,4,24,95,953,0,0,0,0,0,0,0,0,0,0,0,380,170,4,0
guillca01,NULL,NULL,4673,NULL,NULL,NULL,NULL,NULL,22,119,510,1331,28,39,266,51,74,660,804,1305,NULL,733,0
guilloz01,NULL,NULL,6686,NULL,NULL,NULL,NULL,NULL,7,114,239,1764,141,25,275,69,169,619,511,1993,NULL,773,0
gullibi01,34,11,576,136,0,3,54,1228,0,12,20,81,63,0,16,0,0,27,152,398,162,30,0
gurala01,46,16,33,97,14,60,71,958,0,0,2,3,3,0,0,0,0,1,15,405,126,1,0
gustifr01,NULL,NULL,4582,NULL,NULL,NULL,NULL,NULL,15,125,369,1214,71,0,222,47,60,480,427,1261,NULL,553,0
gwynnto01,NULL,NULL,9288,NULL,NULL,NULL,NULL,NULL,24,260,790,3141,45,203,543,85,319,1138,434,2440,NULL,1383,1
haasmu01,NULL,NULL,4303,NULL,NULL,NULL,NULL,NULL,13,0,433,1257,227,0,254,45,12,496,299,1168,NULL,706,0
hackst01,NULL,NULL,7278,NULL,NULL,NULL,NULL,NULL,21,78,1092,2193,115,0,363,81,165,642,466,1938,NULL,1239,0
haddiha01,43,20,798,113,21,84,99,1012,2,15,46,169,20,0,37,9,4,64,162,531,136,95,0
hafeych01,NULL,NULL,4625,NULL,NULL,NULL,NULL,NULL,33,28,372,1466,83,0,341,67,70,833,477,1283,NULL,777,1
hahnno01,52,25,731,94,0,11,212,822,4,0,53,129,21,0,18,10,7,52,0,244,130,65,0
haineje01,57,24,1124,158,10,95,208,1556,1,1,30,209,59,0,23,2,2,79,246,560,210,76,1
hallabi01,8,14,557,94,8,52,90,915,1,8,36,90,46,0,14,1,1,32,199,328,102,43,0
hamilbi01,NULL,NULL,6268,NULL,NULL,NULL,NULL,NULL,89,0,1187,2158,40,0,242,94,912,736,218,1591,NULL,1690,1
hamptmi01,49,9,725,115,1,12,21,1157,5,12,47,178,63,0,22,5,3,79,195,448,148,97,0
handsbi01,36,17,472,110,14,69,72,834,1,2,39,37,48,0,6,0,0,19,249,374,111,19,0
hardeme01,59,25,1203,186,23,95,181,1714,3,11,39,199,69,0,38,5,2,93,369,584,223,89,0
hargrbu01,NULL,NULL,2533,NULL,NULL,NULL,NULL,NULL,32,0,217,786,70,0,155,58,29,376,165,852,NULL,314,0
hargrmi01,NULL,NULL,5564,NULL,NULL,NULL,NULL,NULL,53,154,965,1614,44,75,266,28,24,686,550,1666,NULL,783,0
harpeto01,NULL,NULL,6269,NULL,NULL,NULL,NULL,NULL,35,87,753,1609,76,30,256,36,408,567,1080,1810,NULL,972,0
harrato01,NULL,NULL,7402,NULL,NULL,NULL,NULL,NULL,63,155,1153,1954,76,51,307,40,238,918,868,2155,NULL,1115,0
harrebu01,NULL,NULL,4744,NULL,NULL,NULL,NULL,NULL,22,53,633,1120,94,31,136,45,127,267,653,1533,NULL,539,0
harribu01,NULL,NULL,4736,NULL,NULL,NULL,NULL,NULL,99,0,472,1297,249,0,224,64,167,506,310,1263,NULL,722,0
harrile01,0,0,3924,0,0,1,0,0,17,112,279,1055,44,26,161,21,131,369,337,1903,0,460,0
hartnga01,NULL,NULL,6432,NULL,NULL,NULL,NULL,NULL,35,93,703,1912,127,0,396,64,28,1179,697,1990,NULL,867,1
hattogr01,NULL,NULL,4206,NULL,NULL,NULL,NULL,NULL,13,62,646,1068,39,5,166,33,42,533,430,1312,NULL,562,0
hearnji01,25,10,548,89,8,73,63,847,1,7,33,77,35,0,7,2,1,36,214,403,109,44,0
hebneri01,NULL,NULL,6144,NULL,NULL,NULL,NULL,NULL,74,105,687,1694,44,95,273,57,38,890,741,1908,NULL,865,0
heganji01,NULL,NULL,4772,NULL,NULL,NULL,NULL,NULL,4,113,456,1087,72,14,187,46,15,525,742,1666,NULL,550,0
heilmha01,NULL,NULL,7787,NULL,NULL,NULL,NULL,NULL,40,0,856,2660,277,0,542,151,113,1539,550,2148,NULL,1291,1
helmsto01,NULL,NULL,4997,NULL,NULL,NULL,NULL,NULL,15,126,231,1342,48,60,223,21,33,477,301,1435,NULL,414,0
hemusso01,NULL,NULL,2694,NULL,NULL,NULL,NULL,NULL,62,49,456,736,31,12,137,41,21,263,248,961,NULL,459,0
hendeda01,NULL,NULL,5130,NULL,NULL,NULL,NULL,NULL,22,83,465,1324,19,19,286,17,50,708,1105,1538,NULL,710,0
henderi01,NULL,NULL,10961,NULL,NULL,NULL,NULL,NULL,98,172,2190,3055,30,61,510,66,1406,1115,1694,3081,NULL,2295,1
hendrge01,NULL,NULL,7129,NULL,NULL,NULL,NULL,NULL,22,211,567,1980,21,77,343,27,59,1111,1013,2048,NULL,941,0
henketo01,9,0,1,42,311,548,0,252,0,0,0,0,0,0,0,0,0,0,0,642,41,0,0
hennemi01,19,0,1,42,193,432,0,301,0,0,0,0,0,0,0,0,0,0,1,561,57,0,0
henrito01,NULL,NULL,4603,NULL,NULL,NULL,NULL,NULL,34,62,712,1297,60,0,269,73,37,795,383,1284,NULL,901,0
hentgpa01,49,10,84,112,1,15,34,1076,0,2,4,9,9,0,0,0,0,0,25,344,131,4,0
hermaba01,NULL,NULL,5603,NULL,NULL,NULL,NULL,NULL,11,43,520,1818,92,0,399,110,94,997,553,1552,NULL,882,0
hermabi01,NULL,NULL,7707,NULL,NULL,NULL,NULL,NULL,26,191,737,2345,171,0,486,82,67,839,428,1922,NULL,1163,1
hernake01,NULL,NULL,7370,NULL,NULL,NULL,NULL,NULL,32,161,1070,2182,10,130,426,60,98,1071,1012,2088,NULL,1124,0
hernaro01,35,0,2,71,326,667,0,475,0,0,0,1,0,0,0,0,0,0,1,1010,67,0,0
hernawi01,25,0,63,63,147,419,0,431,0,0,1,13,6,0,2,0,2,3,29,747,70,4,0
hershor01,117,25,810,150,5,19,68,1366,5,7,27,163,101,0,29,2,8,50,182,520,204,65,0
herzobu01,NULL,NULL,5284,NULL,NULL,NULL,NULL,NULL,120,0,427,1370,216,0,191,75,312,445,307,1493,NULL,705,0
hickmji02,0,0,3974,0,0,1,0,1,16,99,491,1002,25,36,163,25,17,560,832,1421,0,518,0
higgibo02,NULL,NULL,4910,NULL,NULL,NULL,NULL,NULL,37,83,649,1336,12,36,270,33,91,709,796,1362,NULL,736,0
higgipi01,NULL,NULL,6636,NULL,NULL,NULL,NULL,NULL,22,112,800,1941,96,0,374,51,61,1075,590,1802,NULL,930,0
hillejo01,12,6,101,76,125,363,13,438,0,1,3,11,4,0,1,0,0,4,34,546,87,2,0
hillpe99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
hinchbi01,NULL,NULL,3043,NULL,NULL,NULL,NULL,NULL,48,0,298,793,96,0,128,69,85,369,174,908,NULL,364,0
hislela01,NULL,NULL,4205,NULL,NULL,NULL,NULL,NULL,39,95,462,1146,32,37,193,32,128,674,941,1197,NULL,652,0
hodgegi01,NULL,NULL,7030,NULL,NULL,NULL,NULL,NULL,25,165,943,1921,56,31,295,48,63,1274,1137,2071,NULL,1105,0
hoernjo01,18,0,59,34,99,268,0,213,0,0,2,6,7,0,1,0,0,3,32,493,39,2,0
hoffmtr01,9,0,34,75,601,856,0,378,0,0,0,4,2,0,2,0,0,5,11,1035,61,1,0
holmeto01,NULL,NULL,4992,NULL,NULL,NULL,NULL,NULL,24,96,480,1507,69,0,292,47,40,581,122,1320,NULL,698,0
holtzke01,49,31,607,150,3,18,127,1273,0,11,17,99,40,0,19,1,0,34,170,456,174,35,0
honeyri01,50,11,182,143,38,118,47,1034,0,2,18,24,28,0,3,0,1,9,44,801,109,13,0
hoopeha01,0,0,8785,0,0,0,0,0,76,0,1136,2466,247,0,389,160,375,817,412,2309,0,1429,1
hootobu01,20,29,748,136,7,35,86,1112,2,6,44,92,117,0,18,0,0,49,243,481,151,42,0
hornebo01,NULL,NULL,3777,NULL,NULL,NULL,NULL,NULL,16,111,369,1047,1,39,169,8,14,685,512,1020,NULL,560,0
hornsro01,NULL,NULL,8173,NULL,NULL,NULL,NULL,NULL,48,3,1038,2930,216,0,541,169,135,1584,679,2259,NULL,1579,1
hortowi01,NULL,NULL,7298,NULL,NULL,NULL,NULL,NULL,58,195,620,1993,17,95,284,40,20,1163,1313,2028,NULL,873,0
houghch01,174,13,226,216,61,240,107,1807,1,8,5,33,18,0,4,0,0,13,53,858,216,7,0
houttar01,40,14,513,91,20,91,78,810,0,15,14,99,38,0,12,1,2,37,77,330,87,37,0
howarel01,NULL,NULL,5363,NULL,NULL,NULL,NULL,NULL,26,157,373,1471,29,82,218,50,9,762,786,1605,NULL,619,0
howarfr01,NULL,NULL,6488,NULL,NULL,NULL,NULL,NULL,33,219,782,1774,7,135,245,35,8,1119,1460,1895,NULL,864,0
howear01,NULL,NULL,2626,NULL,NULL,NULL,NULL,NULL,9,70,275,682,16,47,139,23,10,293,287,891,NULL,268,0
howelro02,NULL,NULL,3791,NULL,NULL,NULL,NULL,NULL,23,86,318,991,25,38,183,31,9,454,675,1112,NULL,422,0
hoytwa01,49,26,1287,182,52,175,226,1780,1,10,40,255,91,0,26,11,0,100,161,674,237,96,1
hraboal01,13,0,56,35,97,307,0,284,1,0,4,8,8,0,0,1,0,6,17,546,64,4,0
hrbekke01,NULL,NULL,6192,NULL,NULL,NULL,NULL,NULL,26,165,838,1749,15,110,312,18,37,1086,798,1747,NULL,903,0
hubbeca01,53,36,1288,154,33,82,260,1380,1,12,33,246,75,0,30,2,1,101,172,535,253,95,1
huggimi01,NULL,NULL,5558,NULL,NULL,NULL,NULL,NULL,47,0,1003,1474,192,0,146,50,324,318,312,1586,NULL,948,0
hundlra01,NULL,NULL,3442,NULL,NULL,NULL,NULL,NULL,13,92,271,813,44,41,118,13,12,381,565,1061,NULL,311,0
hunteca01,49,42,658,166,1,6,181,1380,0,10,8,149,39,0,16,3,2,51,160,515,224,60,1
huntro01,NULL,NULL,5235,NULL,NULL,NULL,NULL,NULL,243,100,555,1429,103,22,223,23,65,370,382,1483,NULL,745,0
hurstbr01,28,23,274,113,0,5,83,1143,0,1,20,31,37,0,5,0,0,8,141,380,145,11,0
hutchfr01,14,13,650,71,7,48,81,681,3,19,66,171,15,0,23,3,6,83,30,354,95,71,0
irvinmo01,NULL,NULL,2499,NULL,NULL,NULL,NULL,NULL,23,81,351,731,9,5,97,31,28,443,220,764,NULL,366,1
irwinch01,NULL,NULL,3679,NULL,NULL,NULL,NULL,NULL,61,0,286,981,69,0,144,46,180,488,42,989,NULL,555,0
jacksda02,50,15,428,131,1,11,44,1061,1,2,10,54,54,0,12,2,0,28,219,355,112,28,0
jacksgr01,21,5,236,75,79,291,16,589,1,3,7,32,8,0,2,1,0,17,90,718,86,20,0
